"(0,)",tensor(19.8800)
"(1,)",tensor(32.9100)
"(0, 1)",tensor(45.2700)
"(2,)",tensor(20.2300)
"(0, 2)",tensor(26.7800)
"(1, 2)",tensor(53.3900)
"(0, 1, 2)",tensor(44.5700)
"(3,)",tensor(23.7200)
"(0, 3)",tensor(31.9500)
"(1, 3)",tensor(48.6700)
"(0, 1, 3)",tensor(48.8200)
"(2, 3)",tensor(29.7500)
"(0, 2, 3)",tensor(34.1900)
"(1, 2, 3)",tensor(44.4300)
"(0, 1, 2, 3)",tensor(47.2500)
"(4,)",tensor(23.2200)
"(0, 4)",tensor(43.2100)
"(1, 4)",tensor(45.2400)
"(0, 1, 4)",tensor(54.3100)
"(2, 4)",tensor(45.4900)
"(0, 2, 4)",tensor(42.6200)
"(1, 2, 4)",tensor(60.3000)
"(0, 1, 2, 4)",tensor(53.2200)
"(3, 4)",tensor(47.0600)
"(0, 3, 4)",tensor(48.9300)
"(1, 3, 4)",tensor(55.8400)
"(0, 1, 3, 4)",tensor(57.0700)
"(2, 3, 4)",tensor(43.7100)
"(0, 2, 3, 4)",tensor(46.6700)
"(1, 2, 3, 4)",tensor(51.5900)
"(0, 1, 2, 3, 4)",tensor(52.2900)
"(5,)",tensor(20.2000)
"(0, 5)",tensor(44.7100)
"(1, 5)",tensor(47.7700)
"(0, 1, 5)",tensor(59.3700)
"(2, 5)",tensor(36.4800)
"(0, 2, 5)",tensor(39.3800)
"(1, 2, 5)",tensor(57.1500)
"(0, 1, 2, 5)",tensor(55.0500)
"(3, 5)",tensor(46.4100)
"(0, 3, 5)",tensor(50.1200)
"(1, 3, 5)",tensor(58.9100)
"(0, 1, 3, 5)",tensor(60.0500)
"(2, 3, 5)",tensor(41.3300)
"(0, 2, 3, 5)",tensor(43.0900)
"(1, 2, 3, 5)",tensor(51.9600)
"(0, 1, 2, 3, 5)",tensor(52.2500)
"(4, 5)",tensor(28.1100)
"(0, 4, 5)",tensor(41.8100)
"(1, 4, 5)",tensor(40.4200)
"(0, 1, 4, 5)",tensor(53.5400)
"(2, 4, 5)",tensor(36.2100)
"(0, 2, 4, 5)",tensor(47.4800)
"(1, 2, 4, 5)",tensor(51.1100)
"(0, 1, 2, 4, 5)",tensor(57.4700)
"(3, 4, 5)",tensor(42.6900)
"(0, 3, 4, 5)",tensor(54.9200)
"(1, 3, 4, 5)",tensor(54.)
"(0, 1, 3, 4, 5)",tensor(61.8600)
"(2, 3, 4, 5)",tensor(48.1400)
"(0, 2, 3, 4, 5)",tensor(52.4900)
"(1, 2, 3, 4, 5)",tensor(55.1500)
"(0, 1, 2, 3, 4, 5)",tensor(57.5300)
"(6,)",tensor(22.6500)
"(0, 6)",tensor(43.1500)
"(1, 6)",tensor(39.3800)
"(0, 1, 6)",tensor(51.0300)
"(2, 6)",tensor(53.0200)
"(0, 2, 6)",tensor(46.0100)
"(1, 2, 6)",tensor(58.9900)
"(0, 1, 2, 6)",tensor(58.0500)
"(3, 6)",tensor(42.4600)
"(0, 3, 6)",tensor(48.3400)
"(1, 3, 6)",tensor(50.4300)
"(0, 1, 3, 6)",tensor(58.7900)
"(2, 3, 6)",tensor(45.7500)
"(0, 2, 3, 6)",tensor(47.5000)
"(1, 2, 3, 6)",tensor(55.4000)
"(0, 1, 2, 3, 6)",tensor(57.1400)
"(4, 6)",tensor(52.1700)
"(0, 4, 6)",tensor(60.1600)
"(1, 4, 6)",tensor(52.9300)
"(0, 1, 4, 6)",tensor(60.0500)
"(2, 4, 6)",tensor(67.3100)
"(0, 2, 4, 6)",tensor(58.0300)
"(1, 2, 4, 6)",tensor(65.3500)
"(0, 1, 2, 4, 6)",tensor(63.6500)
"(3, 4, 6)",tensor(59.8900)
"(0, 3, 4, 6)",tensor(60.6900)
"(1, 3, 4, 6)",tensor(59.1500)
"(0, 1, 3, 4, 6)",tensor(64.6000)
"(2, 3, 4, 6)",tensor(55.9500)
"(0, 2, 3, 4, 6)",tensor(54.9000)
"(1, 2, 3, 4, 6)",tensor(60.7200)
"(0, 1, 2, 3, 4, 6)",tensor(61.0700)
"(5, 6)",tensor(49.7800)
"(0, 5, 6)",tensor(63.0200)
"(1, 5, 6)",tensor(57.8800)
"(0, 1, 5, 6)",tensor(65.4200)
"(2, 5, 6)",tensor(61.5300)
"(0, 2, 5, 6)",tensor(58.2600)
"(1, 2, 5, 6)",tensor(65.)
"(0, 1, 2, 5, 6)",tensor(65.7700)
"(3, 5, 6)",tensor(61.5900)
"(0, 3, 5, 6)",tensor(62.4800)
"(1, 3, 5, 6)",tensor(62.3900)
"(0, 1, 3, 5, 6)",tensor(67.1700)
"(2, 3, 5, 6)",tensor(55.0400)
"(0, 2, 3, 5, 6)",tensor(53.8100)
"(1, 2, 3, 5, 6)",tensor(61.4800)
"(0, 1, 2, 3, 5, 6)",tensor(61.8300)
"(4, 5, 6)",tensor(45.9600)
"(0, 4, 5, 6)",tensor(59.1700)
"(1, 4, 5, 6)",tensor(54.5100)
"(0, 1, 4, 5, 6)",tensor(63.3500)
"(2, 4, 5, 6)",tensor(56.4200)
"(0, 2, 4, 5, 6)",tensor(62.)
"(1, 2, 4, 5, 6)",tensor(62.5700)
"(0, 1, 2, 4, 5, 6)",tensor(66.6700)
"(3, 4, 5, 6)",tensor(59.2800)
"(0, 3, 4, 5, 6)",tensor(65.9100)
"(1, 3, 4, 5, 6)",tensor(61.6700)
"(0, 1, 3, 4, 5, 6)",tensor(68.5300)
"(2, 3, 4, 5, 6)",tensor(59.6300)
"(0, 2, 3, 4, 5, 6)",tensor(60.8500)
"(1, 2, 3, 4, 5, 6)",tensor(63.3200)
"(0, 1, 2, 3, 4, 5, 6)",tensor(65.5000)
"(7,)",tensor(23.4200)
"(0, 7)",tensor(42.5900)
"(1, 7)",tensor(44.9200)
"(0, 1, 7)",tensor(60.3500)
"(2, 7)",tensor(41.5400)
"(0, 2, 7)",tensor(47.9900)
"(1, 2, 7)",tensor(56.6000)
"(0, 1, 2, 7)",tensor(58.4200)
"(3, 7)",tensor(31.8600)
"(0, 3, 7)",tensor(38.5500)
"(1, 3, 7)",tensor(51.)
"(0, 1, 3, 7)",tensor(50.3600)
"(2, 3, 7)",tensor(41.4400)
"(0, 2, 3, 7)",tensor(41.1400)
"(1, 2, 3, 7)",tensor(50.5300)
"(0, 1, 2, 3, 7)",tensor(48.9200)
"(4, 7)",tensor(47.6600)
"(0, 4, 7)",tensor(61.5800)
"(1, 4, 7)",tensor(55.6900)
"(0, 1, 4, 7)",tensor(67.3500)
"(2, 4, 7)",tensor(57.0600)
"(0, 2, 4, 7)",tensor(57.5800)
"(1, 2, 4, 7)",tensor(62.5400)
"(0, 1, 2, 4, 7)",tensor(63.7800)
"(3, 4, 7)",tensor(51.1000)
"(0, 3, 4, 7)",tensor(50.8300)
"(1, 3, 4, 7)",tensor(58.5100)
"(0, 1, 3, 4, 7)",tensor(57.7800)
"(2, 3, 4, 7)",tensor(49.8100)
"(0, 2, 3, 4, 7)",tensor(48.6800)
"(1, 2, 3, 4, 7)",tensor(55.8500)
"(0, 1, 2, 3, 4, 7)",tensor(53.8900)
"(5, 7)",tensor(46.9500)
"(0, 5, 7)",tensor(62.8600)
"(1, 5, 7)",tensor(59.0200)
"(0, 1, 5, 7)",tensor(70.0800)
"(2, 5, 7)",tensor(53.7000)
"(0, 2, 5, 7)",tensor(56.0300)
"(1, 2, 5, 7)",tensor(62.3400)
"(0, 1, 2, 5, 7)",tensor(64.0600)
"(3, 5, 7)",tensor(52.0600)
"(0, 3, 5, 7)",tensor(51.4400)
"(1, 3, 5, 7)",tensor(61.3700)
"(0, 1, 3, 5, 7)",tensor(59.6900)
"(2, 3, 5, 7)",tensor(49.4400)
"(0, 2, 3, 5, 7)",tensor(46.8200)
"(1, 2, 3, 5, 7)",tensor(56.8400)
"(0, 1, 2, 3, 5, 7)",tensor(53.9800)
"(4, 5, 7)",tensor(45.7200)
"(0, 4, 5, 7)",tensor(60.5200)
"(1, 4, 5, 7)",tensor(54.9600)
"(0, 1, 4, 5, 7)",tensor(67.2700)
"(2, 4, 5, 7)",tensor(53.0900)
"(0, 2, 4, 5, 7)",tensor(60.8200)
"(1, 2, 4, 5, 7)",tensor(60.6000)
"(0, 1, 2, 4, 5, 7)",tensor(66.0700)
"(3, 4, 5, 7)",tensor(54.2000)
"(0, 3, 4, 5, 7)",tensor(57.6500)
"(1, 3, 4, 5, 7)",tensor(60.2600)
"(0, 1, 3, 4, 5, 7)",tensor(62.9800)
"(2, 3, 4, 5, 7)",tensor(54.7500)
"(0, 2, 3, 4, 5, 7)",tensor(54.9800)
"(1, 2, 3, 4, 5, 7)",tensor(59.5300)
"(0, 1, 2, 3, 4, 5, 7)",tensor(59.4300)
"(6, 7)",tensor(29.7000)
"(0, 6, 7)",tensor(45.8700)
"(1, 6, 7)",tensor(39.2600)
"(0, 1, 6, 7)",tensor(56.0300)
"(2, 6, 7)",tensor(44.5200)
"(0, 2, 6, 7)",tensor(52.3500)
"(1, 2, 6, 7)",tensor(54.8100)
"(0, 1, 2, 6, 7)",tensor(61.8500)
"(3, 6, 7)",tensor(37.1000)
"(0, 3, 6, 7)",tensor(41.5100)
"(1, 3, 6, 7)",tensor(47.7500)
"(0, 1, 3, 6, 7)",tensor(53.6300)
"(2, 3, 6, 7)",tensor(44.1500)
"(0, 2, 3, 6, 7)",tensor(45.8100)
"(1, 2, 3, 6, 7)",tensor(54.5900)
"(0, 1, 2, 3, 6, 7)",tensor(55.2700)
"(4, 6, 7)",tensor(47.3200)
"(0, 4, 6, 7)",tensor(63.0500)
"(1, 4, 6, 7)",tensor(51.1300)
"(0, 1, 4, 6, 7)",tensor(64.7100)
"(2, 4, 6, 7)",tensor(61.0800)
"(0, 2, 4, 6, 7)",tensor(63.6600)
"(1, 2, 4, 6, 7)",tensor(62.1700)
"(0, 1, 2, 4, 6, 7)",tensor(66.8600)
"(3, 4, 6, 7)",tensor(53.4700)
"(0, 3, 4, 6, 7)",tensor(55.7600)
"(1, 3, 4, 6, 7)",tensor(56.1200)
"(0, 1, 3, 4, 6, 7)",tensor(60.7800)
"(2, 3, 4, 6, 7)",tensor(55.6500)
"(0, 2, 3, 4, 6, 7)",tensor(54.2400)
"(1, 2, 3, 4, 6, 7)",tensor(59.3300)
"(0, 1, 2, 3, 4, 6, 7)",tensor(59.7600)
"(5, 6, 7)",tensor(44.5800)
"(0, 5, 6, 7)",tensor(62.3100)
"(1, 5, 6, 7)",tensor(54.7600)
"(0, 1, 5, 6, 7)",tensor(67.4800)
"(2, 5, 6, 7)",tensor(56.8900)
"(0, 2, 5, 6, 7)",tensor(61.4900)
"(1, 2, 5, 6, 7)",tensor(62.6600)
"(0, 1, 2, 5, 6, 7)",tensor(67.3800)
"(3, 5, 6, 7)",tensor(52.7600)
"(0, 3, 5, 6, 7)",tensor(55.4400)
"(1, 3, 5, 6, 7)",tensor(59.3900)
"(0, 1, 3, 5, 6, 7)",tensor(62.4600)
"(2, 3, 5, 6, 7)",tensor(53.7000)
"(0, 2, 3, 5, 6, 7)",tensor(52.7400)
"(1, 2, 3, 5, 6, 7)",tensor(60.2700)
"(0, 1, 2, 3, 5, 6, 7)",tensor(60.1700)
"(4, 5, 6, 7)",tensor(55.6700)
"(0, 4, 5, 6, 7)",tensor(68.1300)
"(1, 4, 5, 6, 7)",tensor(58.2300)
"(0, 1, 4, 5, 6, 7)",tensor(69.0600)
"(2, 4, 5, 6, 7)",tensor(62.5500)
"(0, 2, 4, 5, 6, 7)",tensor(67.6100)
"(1, 2, 4, 5, 6, 7)",tensor(64.3800)
"(0, 1, 2, 4, 5, 6, 7)",tensor(69.7500)
"(3, 4, 5, 6, 7)",tensor(60.8600)
"(0, 3, 4, 5, 6, 7)",tensor(63.6100)
"(1, 3, 4, 5, 6, 7)",tensor(62.1000)
"(0, 1, 3, 4, 5, 6, 7)",tensor(66.1900)
"(2, 3, 4, 5, 6, 7)",tensor(60.8300)
"(0, 2, 3, 4, 5, 6, 7)",tensor(60.6200)
"(1, 2, 3, 4, 5, 6, 7)",tensor(63.3000)
"(0, 1, 2, 3, 4, 5, 6, 7)",tensor(64.5500)
"(8,)",tensor(27.6600)
"(0, 8)",tensor(27.2200)
"(1, 8)",tensor(42.5000)
"(0, 1, 8)",tensor(42.6500)
"(2, 8)",tensor(39.8000)
"(0, 2, 8)",tensor(33.7100)
"(1, 2, 8)",tensor(52.6200)
"(0, 1, 2, 8)",tensor(44.6700)
"(3, 8)",tensor(43.4600)
"(0, 3, 8)",tensor(31.0700)
"(1, 3, 8)",tensor(57.0400)
"(0, 1, 3, 8)",tensor(42.7000)
"(2, 3, 8)",tensor(45.9600)
"(0, 2, 3, 8)",tensor(36.0700)
"(1, 2, 3, 8)",tensor(54.2300)
"(0, 1, 2, 3, 8)",tensor(45.5300)
"(4, 8)",tensor(39.7900)
"(0, 4, 8)",tensor(41.5300)
"(1, 4, 8)",tensor(50.6900)
"(0, 1, 4, 8)",tensor(51.3900)
"(2, 4, 8)",tensor(50.7600)
"(0, 2, 4, 8)",tensor(43.9100)
"(1, 2, 4, 8)",tensor(58.8200)
"(0, 1, 2, 4, 8)",tensor(51.3500)
"(3, 4, 8)",tensor(56.2100)
"(0, 3, 4, 8)",tensor(42.4400)
"(1, 3, 4, 8)",tensor(63.7100)
"(0, 1, 3, 4, 8)",tensor(51.5700)
"(2, 3, 4, 8)",tensor(53.9600)
"(0, 2, 3, 4, 8)",tensor(44.6400)
"(1, 2, 3, 4, 8)",tensor(60.2100)
"(0, 1, 2, 3, 4, 8)",tensor(50.8900)
"(5, 8)",tensor(43.0500)
"(0, 5, 8)",tensor(46.7300)
"(1, 5, 8)",tensor(54.9400)
"(0, 1, 5, 8)",tensor(56.8200)
"(2, 5, 8)",tensor(48.3800)
